
DATE,CITY,Around Town,Art,Eating & Drinking,Film,Music,Nightlife,Stage,PROVIDED,NEW,EXISTING
2010-06-29,Chicago,0,0,0,0,0,0,0,657,0,1016
2010-06-29,Kuala_lumpur,0,0,0,0,0,0,0,7,0,19
2010-06-29,Lisbon,0,0,0,0,0,0,0,20,0,64
2010-06-29,London,1,0,0,0,15,0,1,1205,17,1511
2010-06-29,Moscow,0,0,0,0,64,11,0,1387,75,2143
2010-06-29,Ny,0,0,0,0,0,0,0,486,0,525
2010-06-29,Saint_petersburg,0,2,0,2,38,26,0,675,68,1096
2010-06-29,Singapore,0,0,0,0,0,0,0,9,0,26
2010-06-29,Sydney,0,0,0,0,0,0,0,4,0,10
2010-06-30,Almaty,0,0,0,0,0,0,0,0,0,34
2010-06-30,Barcelona,32,0,0,0,9,18,0,407,59,602
2010-06-30,Chicago,0,0,0,0,0,0,0,643,0,1016
2010-06-30,Kuala_lumpur,0,0,0,0,0,0,0,7,0,19
2010-06-30,Lisbon,2,0,0,0,0,0,0,20,2,64
2010-06-30,London,139,18,0,0,212,54,129,1739,552,1528
2010-06-30,Moscow,2,7,0,0,44,2,3,1411,58,2218
2010-06-30,Ny,0,0,0,0,0,0,0,485,0,525
2010-06-30,Saint_petersburg,0,0,0,0,3,2,0,654,5,1164
2010-06-30,Singapore,0,0,0,0,0,0,0,8,0,26
2010-06-30,Sydney,0,0,0,0,0,0,0,4,0,10
2010-07-01,Almaty,0,0,0,0,0,0,0,0,0,34
2010-07-01,Barcelona,22,3,0,0,2,24,0,401,51,661
2010-07-01,Chicago,0,0,0,0,0,0,0,616,0,1016
2010-07-01,Kuala_lumpur,0,0,0,0,0,0,0,7,0,19
2010-07-01,Lisbon,0,0,0,0,0,0,1,21,1,66
2010-07-01,London,0,0,0,0,0,0,0,1679,0,2080
2010-07-01,Moscow,2,3,0,0,47,4,10,1443,66,2276
2010-07-01,Ny,0,0,0,0,0,0,0,482,0,525
2010-07-01,Saint_petersburg,0,6,0,1,1,0,0,637,8,1169
2010-07-01,Singapore,13,7,0,2,6,4,5,45,37,26
2010-07-01,Sydney,0,0,0,0,0,0,0,4,0,10
2010-07-02,Almaty,0,0,0,0,0,0,0,0,0,34
2010-07-02,Barcelona,18,2,0,0,32,3,0,430,55,712
2010-07-02,Chicago,0,0,0,0,0,0,0,604,0,1016
2010-07-02,Kuala_lumpur,0,0,0,0,0,0,0,7,0,19
2010-07-02,Lisbon,0,0,0,0,0,0,0,20,0,67
2010-07-02,London,46,0,0,0,49,8,10,1731,113,2080
2010-07-02,Moscow,6,5,0,0,42,9,0,1455,62,2342
2010-07-02,Ny,0,0,0,0,0,0,0,481,0,525
2010-07-02,Saint_petersburg,2,2,0,0,12,20,0,688,36,1177
2010-07-02,Singapore,0,0,0,0,0,0,0,37,0,63
2010-07-02,Sydney,0,0,0,0,0,0,0,4,0,10
2010-07-03,Almaty,0,0,0,0,0,0,0,0,0,34
2010-07-03,Barcelona,0,0,0,0,0,0,0,396,0,767
2010-07-03,Chicago,0,0,0,0,0,0,0,594,0,1016
2010-07-03,Kuala_lumpur,0,0,0,0,0,0,0,7,0,19
2010-07-03,Lisbon,0,0,0,0,0,0,0,19,0,67
2010-07-03,London,0,0,0,0,0,0,0,1677,0,2193
2010-07-03,Moscow,0,0,0,0,0,0,0,1385,0,2404
2010-07-03,Ny,0,0,0,0,0,0,0,481,0,525
2010-07-03,Saint_petersburg,0,0,0,0,0,0,0,651,0,1213
2010-07-03,Singapore,0,0,0,0,0,0,0,32,0,63
2010-07-03,Sydney,0,0,0,0,0,0,0,4,0,10
2010-07-04,Almaty,0,0,0,0,0,0,0,0,0,34
2010-07-04,Barcelona,0,0,0,0,0,0,0,364,0,767
2010-07-04,Chicago,0,0,0,0,0,0,0,584,0,1016
2010-07-04,Kuala_lumpur,0,0,0,0,0,0,0,7,0,19
2010-07-04,Lisbon,0,0,0,0,0,0,0,17,0,67
2010-07-04,London,0,0,0,0,0,0,0,1572,0,2193
2010-07-04,Moscow,0,0,0,0,0,0,0,1298,0,2404
2010-07-04,Ny,0,0,0,0,0,0,0,480,0,525
2010-07-04,Saint_petersburg,0,0,0,0,0,0,0,611,0,1213
2010-07-04,Singapore,0,0,0,0,0,0,0,29,0,63
2010-07-04,Sydney,0,0,0,0,0,0,0,4,0,10
2010-07-05,Almaty,0,0,0,0,0,0,0,0,0,34
2010-07-05,Barcelona,0,0,0,0,0,0,0,336,0,767
2010-07-05,Chicago,0,0,0,0,0,0,0,570,0,1016
2010-07-05,Kuala_lumpur,0,0,0,0,0,0,0,6,0,19
2010-07-05,Lisbon,0,0,0,0,0,0,0,14,0,67
2010-07-05,London,0,0,0,0,0,0,0,1490,0,2193
2010-07-05,Moscow,0,0,0,0,0,0,0,1254,0,2404
2010-07-05,Ny,0,0,0,0,0,0,0,478,0,525
2010-07-05,Saint_petersburg,0,0,0,0,0,0,0,584,0,1213
2010-07-05,Singapore,0,0,0,0,0,0,0,29,0,63
2010-07-05,Sydney,0,0,0,0,0,0,0,4,0,10
2010-07-06,Almaty,0,0,0,0,0,0,0,0,0,34
2010-07-06,Barcelona,9,1,0,0,2,0,0,330,12,767
2010-07-06,Chicago,2,0,0,0,12,3,0,599,17,1016
2010-07-06,Kuala_lumpur,0,0,0,0,0,0,0,6,0,19
2010-07-06,Lisbon,1,0,0,0,0,0,0,19,1,67
2010-07-06,London,2,2,0,0,1,0,1,1454,6,2193
2010-07-06,Moscow,14,2,0,0,69,36,122,1540,243,2404
2010-07-06,Ny,0,0,0,0,0,0,0,477,0,525
2010-07-06,Saint_petersburg,0,6,0,0,18,2,0,599,26,1213
2010-07-06,Singapore,1,0,0,0,1,0,1,29,3,63
2010-07-06,Sydney,0,0,0,0,0,0,0,4,0,10
2010-07-07,Almaty,0,0,0,0,0,0,0,0,0,34
2010-07-07,Barcelona,42,4,0,0,8,14,0,398,68,779
2010-07-07,Chicago,12,2,0,5,29,6,12,663,66,1033
2010-07-07,Kuala_lumpur,0,0,0,0,0,0,0,6,0,19
2010-07-07,Lisbon,1,0,0,0,0,0,1,21,2,68
2010-07-07,London,0,0,0,0,2,0,0,1421,2,2199
2010-07-07,Moscow,0,0,0,0,15,2,7,1132,24,2647
2010-07-07,Ny,0,0,0,0,0,0,0,477,0,525
2010-07-07,Saint_petersburg,0,2,0,0,1,7,7,521,17,1239
2010-07-07,Singapore,0,0,0,0,0,0,0,27,0,66
2010-07-07,Sydney,0,0,0,0,0,0,0,4,0,10
2010-07-08,Almaty,0,0,0,0,0,0,0,0,0,34
2010-07-08,Barcelona,30,0,0,0,11,36,0,463,77,847
2010-07-08,Chicago,0,0,0,0,0,0,0,649,0,1099
2010-07-08,Kuala_lumpur,0,0,0,0,0,0,0,6,0,19
2010-07-08,Lisbon,0,0,0,0,0,0,0,21,0,70
2010-07-08,London,4,2,0,0,0,1,6,1398,13,2201
2010-07-08,Moscow,15,5,0,0,19,0,0,1127,39,2671
2010-07-08,Ny,0,0,0,0,0,0,0,477,0,525
2010-07-08,Saint_petersburg,0,2,0,0,5,2,4,510,13,1256
2010-07-08,Singapore,0,0,0,0,0,0,0,27,0,66
2010-07-08,Sydney,0,0,0,0,0,0,0,4,0,10
2010-07-09,Almaty,0,0,0,0,0,8,0,8,8,34
2010-07-09,Barcelona,1,2,0,0,31,2,0,473,36,924
2010-07-09,Chicago,0,0,0,0,2,1,0,642,3,1099
2010-07-09,Kuala_lumpur,0,0,0,0,0,0,0,5,0,19
2010-07-09,Lisbon,0,0,0,0,0,0,0,21,0,70
2010-07-09,London,0,3,0,0,0,1,0,1371,4,2214
2010-07-09,Moscow,1,3,0,0,2,0,7,1085,13,2710
2010-07-09,Ny,0,0,0,0,0,0,0,477,0,525
2010-07-09,Saint_petersburg,0,9,0,0,20,6,0,521,35,1269
2010-07-09,Singapore,0,0,0,0,0,0,0,24,0,66
2010-07-09,Sydney,0,0,0,0,0,0,0,5,0,10
2010-07-10,Almaty,0,0,0,0,0,0,0,7,0,42
2010-07-10,Barcelona,1,2,0,0,0,0,0,441,3,960
2010-07-10,Chicago,5,6,0,3,1,0,2,641,17,1102
2010-07-10,Kuala_lumpur,0,0,0,0,0,0,0,5,0,19
2010-07-10,Lisbon,0,0,0,0,0,0,0,21,0,70
2010-07-10,London,0,1,0,0,0,0,0,1332,1,2218
2010-07-10,Moscow,16,2,0,0,38,4,0,1081,60,2723
2010-07-10,Ny,0,0,0,0,0,0,0,477,0,525
2010-07-10,Saint_petersburg,0,0,0,0,0,0,0,489,0,1304
2010-07-10,Singapore,1,1,0,0,0,0,1,25,3,66
2010-07-10,Sydney,0,0,0,0,0,0,0,5,0,10
2010-07-11,Almaty,0,0,0,0,0,0,0,6,0,42
2010-07-11,Barcelona,0,0,0,0,0,0,0,409,0,963
2010-07-11,Chicago,0,1,0,0,1,1,4,628,7,1119
2010-07-11,Kuala_lumpur,0,0,0,0,0,0,0,5,0,19
2010-07-11,Lisbon,0,0,0,0,0,0,0,20,0,70
2010-07-11,London,3,1,0,0,0,0,3,1278,7,2219
2010-07-11,Moscow,0,0,0,0,0,0,0,1010,0,2783
2010-07-11,Ny,0,0,0,0,0,0,0,476,0,525
2010-07-11,Saint_petersburg,0,1,0,0,1,1,0,458,3,1304
