
DATE,CITY,Around Town,Art,Eating & Drinking,Film,Music,Nightlife,Stage,PROVIDED,NEW,EXISTING
2010-06-30,Kuala_lumpur,0,0,0,0,0,0,0,3,0,3
2010-06-30,Lisbon,0,0,0,0,0,0,0,58,0,58
2010-06-30,London,0,0,0,14,0,0,0,785,14,771
2010-06-30,Moscow,0,0,0,20,0,0,0,550,20,535
2010-06-30,Ny,0,0,0,12,0,0,0,309,12,297
2010-06-30,Saint_petersburg,0,0,0,21,0,0,0,384,21,361
2010-06-30,Singapore,0,0,0,0,0,0,0,74,0,74
2010-06-30,Sydney,0,0,0,0,0,0,0,172,0,172
2010-07-01,Almaty,0,0,0,0,0,0,0,133,0,132
2010-07-01,Barcelona,0,0,0,5,0,0,0,152,5,147
2010-07-01,Chicago,0,0,0,1,0,0,0,293,1,292
2010-07-01,Kuala_lumpur,0,0,0,0,0,0,0,3,0,3
2010-07-01,Lisbon,0,0,0,0,0,0,0,58,0,58
2010-07-01,London,0,0,0,7,0,0,0,792,7,785
2010-07-01,Moscow,0,0,0,16,0,0,0,562,16,555
2010-07-01,Ny,0,0,0,6,0,0,0,315,6,309
2010-07-01,Saint_petersburg,0,0,0,17,0,0,0,403,17,382
2010-07-01,Singapore,0,0,0,3,0,0,0,77,3,74
2010-07-01,Sydney,0,0,0,0,0,0,0,172,0,172
2010-07-02,Almaty,0,0,0,0,0,0,0,133,0,132
2010-07-02,Barcelona,0,0,0,8,0,0,0,160,8,152
2010-07-02,Chicago,0,0,0,2,0,0,0,295,2,293
2010-07-02,Kuala_lumpur,0,0,0,0,0,0,0,3,0,3
2010-07-02,Lisbon,0,0,0,3,0,0,0,61,3,58
2010-07-02,London,0,0,0,2,0,0,0,794,2,792
2010-07-02,Moscow,0,0,0,23,0,0,0,585,23,571
2010-07-02,Ny,0,0,0,23,0,0,0,338,23,315
2010-07-02,Saint_petersburg,0,0,0,23,0,0,0,426,23,399
2010-07-02,Singapore,0,0,0,0,0,0,0,77,0,77
2010-07-02,Sydney,0,0,0,0,0,0,0,172,0,172
2010-07-03,Almaty,0,0,0,0,0,0,0,133,0,132
2010-07-03,Barcelona,0,0,0,0,0,0,0,160,0,160
2010-07-03,Chicago,0,0,0,0,0,0,0,295,0,295
2010-07-03,Kuala_lumpur,0,0,0,0,0,0,0,3,0,3
2010-07-03,Lisbon,0,0,0,0,0,0,0,61,0,61
2010-07-03,London,0,0,0,0,0,0,0,794,0,794
2010-07-03,Moscow,0,0,0,0,0,0,0,585,0,594
2010-07-03,Ny,0,0,0,0,0,0,0,338,0,338
2010-07-03,Saint_petersburg,0,0,0,0,0,0,0,426,0,422
2010-07-03,Singapore,0,0,0,0,0,0,0,77,0,77
2010-07-03,Sydney,0,0,0,0,0,0,0,172,0,172
2010-07-04,Almaty,0,0,0,0,0,0,0,133,0,132
2010-07-04,Barcelona,0,0,0,0,0,0,0,160,0,160
2010-07-04,Chicago,0,0,0,0,0,0,0,295,0,295
2010-07-04,Kuala_lumpur,0,0,0,0,0,0,0,3,0,3
2010-07-04,Lisbon,0,0,0,0,0,0,0,61,0,61
2010-07-04,London,0,0,0,0,0,0,0,794,0,794
2010-07-04,Moscow,0,0,0,0,0,0,0,585,0,594
2010-07-04,Ny,0,0,0,0,0,0,0,338,0,338
2010-07-04,Saint_petersburg,0,0,0,0,0,0,0,426,0,422
2010-07-04,Singapore,0,0,0,0,0,0,0,77,0,77
2010-07-04,Sydney,0,0,0,0,0,0,0,172,0,172
2010-07-05,Almaty,0,0,0,0,0,0,0,133,0,132
2010-07-05,Barcelona,0,0,0,0,0,0,0,160,0,160
2010-07-05,Chicago,0,0,0,0,0,0,0,295,0,295
2010-07-05,Kuala_lumpur,0,0,0,0,0,0,0,3,0,3
2010-07-05,Lisbon,0,0,0,0,0,0,0,61,0,61
2010-07-05,London,0,0,0,0,0,0,0,794,0,794
2010-07-05,Moscow,0,0,0,0,0,0,0,585,0,594
2010-07-05,Ny,0,0,0,0,0,0,0,338,0,338
2010-07-05,Saint_petersburg,0,0,0,0,0,0,0,426,0,422
2010-07-05,Singapore,0,0,0,0,0,0,0,77,0,77
2010-07-05,Sydney,0,0,0,0,0,0,0,172,0,172
2010-07-06,Almaty,0,0,0,0,0,0,0,133,0,132
2010-07-06,Barcelona,0,0,0,3,0,0,0,163,3,160
2010-07-06,Chicago,0,0,0,5,0,0,0,300,5,295
2010-07-06,Kuala_lumpur,0,0,0,0,0,0,0,3,0,3
2010-07-06,Lisbon,0,0,0,0,0,0,0,61,0,61
2010-07-06,London,0,0,0,20,0,0,0,814,20,794
2010-07-06,Moscow,0,0,0,16,0,0,0,601,16,594
2010-07-06,Ny,0,0,0,0,0,0,0,338,0,338
2010-07-06,Saint_petersburg,0,0,0,17,0,0,0,443,17,422
2010-07-06,Singapore,0,0,0,0,0,0,0,77,0,77
2010-07-06,Sydney,0,0,0,0,0,0,0,172,0,172
2010-07-07,Almaty,0,0,0,0,0,0,0,133,0,132
2010-07-07,Barcelona,0,0,0,15,0,0,0,178,15,163
2010-07-07,Chicago,0,0,0,1,0,0,0,301,1,300
2010-07-07,Kuala_lumpur,0,0,0,0,0,0,0,3,0,3
2010-07-07,Lisbon,0,0,0,0,0,0,0,61,0,61
2010-07-07,London,0,0,0,4,0,0,0,818,4,814
2010-07-07,Moscow,0,0,0,0,0,0,0,601,0,610
2010-07-07,Ny,0,0,0,0,0,0,0,338,0,338
2010-07-07,Saint_petersburg,0,0,0,0,0,0,0,443,0,439
2010-07-07,Singapore,0,0,0,4,0,0,0,81,4,77
2010-07-07,Sydney,0,0,0,0,0,0,0,172,0,172
2010-07-08,Almaty,0,0,0,0,0,0,0,133,0,132
2010-07-08,Barcelona,0,0,0,1,0,0,0,179,1,178
2010-07-08,Chicago,0,0,0,4,0,0,0,305,4,301
2010-07-08,Kuala_lumpur,0,0,0,0,0,0,0,3,0,3
2010-07-08,Lisbon,0,0,0,0,0,0,0,61,0,61
2010-07-08,London,0,0,0,18,0,0,0,836,18,818
2010-07-08,Moscow,0,0,0,0,0,0,0,601,0,610
2010-07-08,Ny,0,0,0,11,0,0,0,349,11,338
2010-07-08,Saint_petersburg,0,0,0,0,0,0,0,443,0,439
2010-07-08,Singapore,0,0,0,0,0,0,0,81,0,81
2010-07-08,Sydney,0,0,0,0,0,0,0,172,0,172
2010-07-09,Almaty,0,0,0,0,0,0,0,133,0,132
2010-07-09,Barcelona,0,0,0,0,0,0,0,179,0,179
2010-07-09,Chicago,0,0,0,3,0,0,0,308,3,305
2010-07-09,Kuala_lumpur,0,0,0,0,0,0,0,3,0,3
2010-07-09,Lisbon,0,0,0,0,0,0,0,61,0,61
2010-07-09,London,0,0,0,1,0,0,0,837,1,836
2010-07-09,Moscow,0,0,0,0,0,0,0,601,0,610
2010-07-09,Ny,0,0,0,25,0,0,0,374,25,349
2010-07-09,Saint_petersburg,0,0,0,0,0,0,0,443,0,439
2010-07-09,Singapore,0,0,0,0,0,0,0,81,0,81
2010-07-09,Sydney,0,0,0,8,0,0,0,180,8,172
2010-07-10,Almaty,0,0,0,0,0,0,0,133,0,132
